FarFromStation,Age,Price,ManagementPrice,TotalPrice
13,28,7.0,0.2,7.2
13,28,7.0,0.2,7.2
7,28,8.3,0.5,8.8
12,26,8.8,0.5,9.3
12,26,8.8,0.5,9.3
11,26,8.8,0.5,9.3
13,33,7.2,0.2,7.4
10,34,5.8,0.1,5.8999999999999995
14,32,7.5,0.2,7.7
13,33,7.8,0.2,8.0
8,36,7.9,0.3,8.200000000000001
9,34,9.1,0.3,9.4
12,42,5.2,0.1,5.3
25,32,7.7,0.3,8.0
19,28,5.8,0.2,6.0
18,32,7.5,0.1,7.6
17,28,8.0,0.3,8.3
20,25,9.2,0.7,9.899999999999999
21,41,5.7,0.0,5.7
8,26,7.7,0.5,8.2
9,26,8.1,0.3,8.4
9,26,8.1,0.3,8.4
10,31,6.9,0.2,7.1000000000000005
10,31,6.9,0.2,7.1000000000000005
10,31,6.9,0.2,7.1000000000000005
10,31,6.9,0.2,7.1000000000000005
10,31,6.9,0.2,7.1000000000000005
11,26,8.8,0.5,9.3
11,26,8.8,0.5,9.3
11,26,8.8,0.5,9.3
11,26,8.8,0.5,9.3
11,26,8.8,0.5,9.3
10,35,7.7,0.3,8.0
7,28,8.3,0.5,8.8
12,26,8.8,0.5,9.3
12,26,8.8,0.5,9.3
12,26,8.8,0.5,9.3
12,26,8.8,0.5,9.3
10,35,8.0,0.0,8.0
11,30,8.8,0.3,9.100000000000001
13,33,7.7,0.0,7.7
13,33,7.7,0.0,7.7
11,30,8.8,0.3,9.100000000000001
13,33,7.8,0.0,7.8
13,33,7.8,0.0,7.8
12,30,8.8,0.3,9.100000000000001
10,34,5.8,0.1,5.8999999999999995
10,34,5.8,0.1,5.8999999999999995
10,34,5.8,0.1,5.8999999999999995
14,27,8.8,0.2,9.0
10,36,8.4,0.3,8.700000000000001
10,36,8.4,0.3,8.700000000000001
8,37,8.2,0.3,8.5
15,36,6.8,0.1,6.8999999999999995
18,33,7.1,0.2,7.3
13,34,5.8,0.1,5.8999999999999995
18,33,7.1,0.2,7.3
18,35,7.3,0.2,7.5
18,35,5.8,0.25,6.05
18,35,6.0,0.0,6.0
12,42,5.2,0.1,5.3
12,42,5.2,0.1,5.3
3,47,7.4,0.5,7.9
14,42,5.2,0.1,5.3
22,39,6.5,0.3,6.8
22,39,6.5,0.3,6.8
10,37,7.2,0.1,7.3
24,30,9.2,0.3,9.5
15,32,7.7,0.3,8.0
30,28,7.4,0.55,7.95
13,28,7.0,0.2,7.2
26,27,8.2,0.3,8.5
26,27,8.2,0.3,8.5
17,31,6.3,0.3,6.6
17,31,6.3,0.3,6.6
27,26,7.9,0.1,8.0
19,31,6.3,0.3,6.6
20,21,8.6,0.0,8.6
18,36,8.5,0.3,8.8
18,28,8.7,0.3,9.0
25,35,7.3,0.2,7.5
25,32,7.7,0.3,8.0
20,28,8.0,0.2,8.2
20,28,8.2,0.2,8.399999999999999
20,28,8.0,0.2,8.2
23,32,6.9,0.0,6.9
17,29,8.5,0.3,8.8
17,29,8.5,0.3,8.8
30,27,7.7,0.3,8.0
30,27,7.7,0.3,8.0
15,31,8.2,0.3,8.5
15,32,7.7,0.3,8.0
15,32,7.7,0.3,8.0
15,14,9.5,0.3,9.8
15,14,9.5,0.3,9.8
35,25,9.2,0.7,9.899999999999999
30,26,9.2,0.3,9.5
26,34,7.9,0.0,7.9
30,26,9.4,0.5,9.9
28,33,8.3,0.0,8.3
